shipment_id,from_city,to_city,distance_km,weight_kg,volume_m3,cargo_type,carrier,cost_rub,base_cost_per_km,date,status,delivery_days,carrier_reliability,cargo_fragility,customer_id,customer_segment,insurance,insurance_cost,fuel_surcharge,priority,payment_method,has_return,return_cost
19,Москва,Ростов-на-Дону,1664,4066,4.88,Автозапчасти,ПЭК,109423.66,46.15,2023-04-11,Доставлен,4.0,0.92,0.4,8252,A,False,2188.47,14522.71,Экспресс,Предоплата,False,0.0
20,Красноярск,Челябинск,2241,1391,0.56,Одежда,Грузовоз,99447.15,46.55,2023-03-26,Доставлен,2.0,0.9,0.2,3104,B,True,0.0,8183.23,Стандарт,Постоплата,False,0.0
21,Москва,Нижний Новгород,400,3511,1.4,Игрушки,Энергия,33796.94,43.77,2023-03-18,Отменен,,0.96,0.4,7814,B,True,0.0,3645.38,Экспресс,50/50,False,0.0
22,Санкт-Петербург,Уфа,1871,1164,1.28,Химия,Ратэк,74104.93,29.28,2023-08-08,Доставлен,2.0,0.91,0.7,9983,B,True,0.0,10526.94,Экспресс,Постоплата,False,0.0
23,Москва,Красноярск,1540,3447,1.38,Одежда,Мэйджор,74832.71,27.48,2023-11-06,Доставлен,3.0,0.99,0.2,2322,A,False,0.0,5467.41,Стандарт,Постоплата,True,0.0
24,Санкт-Петербург,Самара,1274,3123,1.56,Медицина,Энергия,127514.67,46.37,2023-06-16,Доставлен,3.0,0.96,0.9,7412,B,True,0.0,15062.47,Стандарт,50/50,False,0.0
25,Красноярск,Екатеринбург,2019,1335,1.2,Мебель,Деловые Линии,109022.38,38.46,2023-01-17,Доставлен,5.0,0.95,0.5,3197,B,True,0.0,9746.06,Стандарт,Предоплата,False,0.0
26,Ростов-на-Дону,Уфа,1697,3922,4.31,Химия,Байкал Сервис,57952.05,18.14,2024-01-06,Ожидает отправки,,0.93,0.7,1446,B,False,0.0,4227.55,Стандарт,Постоплата,False,0.0
27,Москва,Омск,1131,3347,2.34,Продукты,Байкал Сервис,26911.14,16.65,2023-06-02,Доставлен,3.0,0.93,0.6,3213,A,False,0.0,3874.79,Экспресс,50/50,False,0.0
28,Новосибирск,Нижний Новгород,2002,1981,0.79,Одежда,Ратэк,33462.44,19.4,2023-05-27,Доставлен,5.0,0.91,0.2,7017,A,False,0.0,4321.46,Супер-экспресс,50/50,False,0.0
29,Москва,Санкт-Петербург,710,2345,1.41,Канцелярия,ПЭК,31350.06,43.15,2023-06-30,Доставлен,3.0,0.92,0.3,2131,C,False,0.0,3315.95,Стандарт,50/50,True,0.0
30,Челябинск,Екатеринбург,1398,93,0.05,Медицина,Байкал Сервис,55123.24,25.3,2023-02-26,Доставлен,3.0,0.93,0.9,6309,B,False,0.0,2821.93,Супер-экспресс,Постоплата,False,0.0
31,Москва,Екатеринбург,1800,2188,5.47,Стройматериалы,ЖДД,48834.93,33.19,2023-08-02,Доставлен,3.0,0.98,0.1,8450,C,True,0.0,4123.04,Экспресс,Предоплата,False,0.0
32,Красноярск,Нижний Новгород,1717,3489,1.05,Электроника,Ратэк,59340.71,19.11,2023-04-30,Доставлен,4.0,0.91,0.8,2320,C,True,0.0,7075.79,Стандарт,Постоплата,False,47472.57
33,Москва,Челябинск,2668,4038,2.02,Медицина,ПЭК,130257.58,27.34,2023-04-06,Доставлен,5.0,0.92,0.9,2449,A,False,0.0,11245.57,Экспресс,Предоплата,False,0.0
34,Москва,Екатеринбург,1800,614,1.53,Стройматериалы,Байкал Сервис,70688.55,44.66,2023-05-07,Доставлен,2.0,0.93,0.1,4751,A,False,1413.77,6337.4,Экспресс,Постоплата,False,0.0
35,Москва,Ростов-на-Дону,1062,2650,6.62,Стройматериалы,ПЭК,21987.33,23.28,2023-08-26,Доставлен,2.0,0.92,0.1,3738,B,True,0.0,2624.04,Супер-экспресс,Постоплата,False,0.0
36,Москва,Уфа,2631,1824,2.19,Автозапчасти,Грузовоз,43878.56,16.12,2023-11-22,Доставлен,3.0,0.9,0.4,2887,A,False,877.57,6434.65,Стандарт,Предоплата,False,0.0
37,Екатеринбург,Омск,2640,2505,1.0,Игрушки,Байкал Сервис,143534.34,45.21,2023-08-09,Доставлен,4.0,0.93,0.4,8213,B,False,0.0,13587.46,Супер-экспресс,Предоплата,False,0.0
38,Санкт-Петербург,Нижний Новгород,1736,132,0.07,Медицина,ПЭК,101028.83,40.59,2023-11-12,Доставлен,2.0,0.92,0.9,8240,B,True,0.0,8805.09,Супер-экспресс,Предоплата,False,80823.06
39,Москва,Самара,2521,2005,5.01,Стройматериалы,ЖДД,57244.79,34.24,2023-12-29,В пути,,0.98,0.1,5071,C,False,0.0,6443.94,Супер-экспресс,Предоплата,True,0.0
40,Москва,Уфа,3006,4744,5.69,Автозапчасти,Энергия,171694.74,39.18,2024-01-15,Доставлен,5.0,0.96,0.4,1001,B,False,3433.89,25336.2,Супер-экспресс,50/50,False,0.0
41,Челябинск,Москва,668,1615,1.45,Мебель,Ратэк,17616.54,21.29,2023-05-21,Доставлен,2.0,0.91,0.5,1442,A,False,0.0,1967.98,Стандарт,Предоплата,False,0.0
42,Екатеринбург,Ростов-на-Дону,2050,3458,8.64,Стройматериалы,Ратэк,80736.3,42.96,2023-04-12,Доставлен,3.0,0.91,0.1,6097,C,False,0.0,5810.86,Экспресс,Предоплата,False,0.0
43,Красноярск,Москва,2342,2049,2.25,Химия,Мэйджор,112373.9,26.85,2023-09-03,Доставлен,2.0,0.99,0.7,8431,A,False,2247.48,10302.88,Супер-экспресс,Предоплата,False,0.0
44,Красноярск,Москва,1718,1905,1.71,Мебель,ПЭК,44462.41,17.91,2023-04-01,Доставлен,3.0,0.92,0.5,8557,B,True,889.25,6194.76,Стандарт,Предоплата,False,0.0
45,Новосибирск,Самара,2536,1244,0.75,Канцелярия,Энергия,125375.11,41.59,2023-06-11,Доставлен,5.0,0.96,0.3,6350,B,False,0.0,18180.34,Экспресс,Предоплата,False,0.0
46,Казань,Красноярск,1707,2581,1.55,Канцелярия,Ратэк,59596.21,34.71,2023-12-12,Отменен,,0.91,0.3,8722,B,False,0.0,6326.63,Экспресс,Постоплата,True,0.0
47,Екатеринбург,Москва,1800,407,0.24,Канцелярия,Деловые Линии,41470.82,24.38,2023-12-13,В пути,,0.95,0.3,6825,B,False,0.0,3685.95,Супер-экспресс,Предоплата,True,0.0
48,Санкт-Петербург,Омск,2540,4999,2.5,Медицина,Мэйджор,214502.53,34.99,2024-01-26,Доставлен,6.0,0.99,0.9,6808,C,False,0.0,14334.14,Стандарт,Предоплата,False,0.0
49,Москва,Казань,800,1197,0.48,Игрушки,Грузовоз,20950.72,23.98,2023-01-25,Доставлен,3.0,0.9,0.4,7023,C,False,0.0,2881.01,Супер-экспресс,Постоплата,False,0.0
50,Красноярск,Казань,1886,3928,1.18,Электроника,Деловые Линии,151284.17,36.99,2023-04-24,В пути,,0.95,0.8,7698,C,False,0.0,9092.49,Стандарт,Постоплата,False,0.0
51,Екатеринбург,Уфа,451,1101,0.44,Одежда,Байкал Сервис,10222.22,16.7,2023-01-23,Задержан,,0.93,0.2,6596,B,False,204.44,1178.68,Супер-экспресс,Постоплата,False,0.0
52,Екатеринбург,Москва,1800,1521,1.06,Продукты,Энергия,95800.29,34.22,2023-07-11,Ожидает отправки,,0.96,0.6,7969,C,True,1916.01,12782.47,Супер-экспресс,Предоплата,False,0.0
53,Казань,Омск,1776,3021,0.91,Электроника,Байкал Сервис,62965.61,19.68,2023-11-18,Доставлен,3.0,0.93,0.8,4477,C,False,0.0,7716.63,Супер-экспресс,50/50,False,0.0
54,Москва,Ростов-на-Дону,2745,3360,2.02,Канцелярия,ЖДД,88667.34,35.27,2023-02-12,Доставлен,5.0,0.98,0.3,9892,A,False,0.0,11099.79,Экспресс,50/50,False,0.0
55,Санкт-Петербург,Уфа,2568,556,0.28,Медицина,Энергия,118183.75,26.59,2023-01-27,Доставлен,4.0,0.96,0.9,4013,A,True,0.0,13696.04,Экспресс,50/50,False,0.0
56,Москва,Уфа,2000,3841,1.54,Игрушки,Грузовоз,98782.93,39.38,2024-01-08,Доставлен,2.0,0.9,0.4,5706,A,False,0.0,8164.38,Экспресс,Постоплата,False,0.0
57,Екатеринбург,Омск,677,2905,2.61,Мебель,Деловые Линии,24629.5,19.98,2023-06-16,Доставлен,3.0,0.95,0.5,4358,B,True,0.0,3343.2,Стандарт,Предоплата,False,0.0
58,Санкт-Петербург,Самара,1678,2474,0.74,Электроника,Энергия,65718.8,19.58,2023-03-30,Доставлен,3.0,0.96,0.8,5877,A,True,1314.38,6418.61,Стандарт,Предоплата,False,0.0
59,Екатеринбург,Нижний Новгород,824,4050,4.86,Автозапчасти,Грузовоз,22424.4,20.34,2023-04-12,Доставлен,3.0,0.9,0.4,8640,B,False,448.49,1139.24,Стандарт,50/50,False,0.0
60,Екатеринбург,Самара,1217,1415,0.57,Игрушки,Грузовоз,60144.64,48.03,2023-12-15,Доставлен,1.0,0.9,0.4,2703,A,False,0.0,6923.24,Стандарт,Предоплата,False,48115.71
61,Ростов-на-Дону,Нижний Новгород,982,1789,1.07,Канцелярия,Мэйджор,22427.82,15.32,2023-03-01,Доставлен,3.0,0.99,0.3,7004,A,True,448.56,2057.62,Стандарт,Постоплата,False,0.0
62,Казань,Уфа,2533,2352,0.71,Электроника,ПЭК,137846.86,39.98,2024-01-01,Доставлен,3.0,0.92,0.8,3802,A,True,0.0,7184.56,Супер-экспресс,Постоплата,False,110277.49
63,Москва,Самара,1183,3749,2.62,Продукты,Деловые Линии,97312.62,49.65,2023-06-18,Доставлен,2.0,0.95,0.6,1132,B,True,0.0,11299.53,Стандарт,Постоплата,False,0.0
64,Казань,Уфа,907,2680,3.22,Автозапчасти,Энергия,51726.46,36.92,2023-09-09,Доставлен,1.0,0.96,0.4,9944,A,True,1034.53,5606.06,Экспресс,Постоплата,False,0.0
65,Ростов-на-Дону,Екатеринбург,2009,3475,1.74,Медицина,Грузовоз,81865.89,26.32,2023-02-17,Доставлен,3.0,0.9,0.9,7940,C,True,0.0,6953.52,Экспресс,50/50,False,0.0
66,Екатеринбург,Санкт-Петербург,381,283,0.71,Стройматериалы,Байкал Сервис,10196.29,26.57,2023-08-18,Доставлен,1.0,0.93,0.1,6141,C,False,0.0,570.46,Экспресс,Предоплата,False,0.0
67,Челябинск,Казань,427,1001,1.2,Автозапчасти,Мэйджор,18765.19,27.2,2023-05-30,Доставлен,3.0,0.99,0.4,4458,C,True,0.0,2376.15,Экспресс,Постоплата,False,0.0
68,Нижний Новгород,Санкт-Петербург,1025,3927,1.18,Электроника,Байкал Сервис,90336.23,41.01,2023-05-28,Доставлен,1.0,0.93,0.8,3197,B,False,0.0,12711.31,Экспресс,Постоплата,False,0.0
69,Новосибирск,Нижний Новгород,336,673,0.47,Продукты,Деловые Линии,18353.98,37.88,2023-10-29,Доставлен,1.0,0.95,0.6,8739,A,False,0.0,1376.7,Супер-экспресс,Предоплата,False,0.0
70,Новосибирск,Казань,2781,3373,2.36,Продукты,Ратэк,153947.53,41.02,2023-04-19,Доставлен,6.0,0.91,0.6,8675,B,True,0.0,13595.5,Стандарт,Предоплата,False,0.0
71,Екатеринбург,Нижний Новгород,1316,2690,2.96,Химия,ЖДД,43661.06,23.77,2023-08-17,Доставлен,1.0,0.98,0.7,6873,C,True,873.22,5600.09,Супер-экспресс,Постоплата,False,0.0
72,Ростов-на-Дону,Омск,1614,1457,0.44,Электроника,ЖДД,86323.55,38.36,2023-12-20,Доставлен,3.0,0.98,0.8,5369,B,True,0.0,5190.12,Супер-экспресс,Постоплата,False,0.0
73,Москва,Казань,800,169,0.07,Одежда,Мэйджор,33519.46,35.58,2024-01-26,Доставлен,1.0,0.99,0.2,5222,B,True,670.39,3908.59,Экспресс,Предоплата,False,0.0
74,Санкт-Петербург,Москва,710,4003,2.8,Продукты,Грузовоз,31100.28,32.31,2024-01-15,Доставлен,1.0,0.9,0.6,1741,B,False,0.0,2182.97,Супер-экспресс,50/50,False,0.0
75,Нижний Новгород,Казань,2083,2543,1.78,Продукты,Мэйджор,52027.33,16.08,2023-07-03,Доставлен,5.0,0.99,0.6,8514,A,False,0.0,3168.69,Экспресс,50/50,False,41621.86
76,Москва,Новосибирск,2800,3287,8.22,Стройматериалы,ЖДД,91531.74,45.72,2023-10-18,Доставлен,4.0,0.98,0.1,8350,B,True,0.0,11776.93,Экспресс,50/50,False,0.0
77,Омск,Нижний Новгород,2972,2866,3.44,Автозапчасти,ПЭК,66680.41,18.94,2024-01-21,Доставлен,3.0,0.92,0.4,3314,A,False,1333.61,6727.79,Экспресс,Постоплата,False,0.0
78,Москва,Ростов-на-Дону,2982,51,0.06,Химия,Мэйджор,123588.76,26.23,2023-04-23,Доставлен,6.0,0.99,0.7,7502,B,False,0.0,10080.96,Супер-экспресс,Предоплата,False,98871.01
79,Красноярск,Челябинск,1268,3294,2.31,Продукты,Мэйджор,39050.68,16.89,2023-03-18,Доставлен,1.0,0.99,0.6,2194,A,False,0.0,3785.14,Супер-экспресс,50/50,False,0.0
80,Москва,Нижний Новгород,400,4994,3.5,Продукты,Энергия,37972.57,39.15,2024-01-21,Доставлен,3.0,0.96,0.6,4407,C,True,0.0,4876.38,Стандарт,Предоплата,False,0.0
81,Челябинск,Ростов-на-Дону,671,314,0.22,Продукты,Ратэк,13016.42,18.14,2023-04-02,Доставлен,2.0,0.91,0.6,2003,A,True,0.0,853.53,Стандарт,50/50,False,0.0
82,Красноярск,Челябинск,2197,1044,0.42,Одежда,ПЭК,38825.5,18.31,2023-04-07,Доставлен,3.0,0.92,0.2,3561,B,False,0.0,5196.83,Супер-экспресс,Постоплата,False,0.0
83,Ростов-на-Дону,Казань,2633,4861,1.46,Электроника,Деловые Линии,217621.2,42.0,2023-05-19,Доставлен,4.0,0.95,0.8,4917,A,False,0.0,15186.45,Стандарт,Предоплата,False,0.0
84,Санкт-Петербург,Казань,821,4766,2.86,Канцелярия,Ратэк,54889.49,47.67,2023-08-25,Доставлен,2.0,0.91,0.3,8078,C,True,1097.79,5731.33,Стандарт,Постоплата,False,0.0
85,Санкт-Петербург,Москва,710,4123,3.71,Мебель,Байкал Сервис,21410.76,15.81,2023-03-24,Доставлен,2.0,0.93,0.5,8401,A,False,428.22,2694.55,Стандарт,50/50,False,0.0
86,Москва,Екатеринбург,1800,3964,1.98,Медицина,Энергия,141032.53,34.81,2023-04-20,Доставлен,2.0,0.96,0.9,6715,A,True,0.0,16706.84,Супер-экспресс,50/50,False,0.0
87,Ростов-на-Дону,Санкт-Петербург,2176,3127,0.94,Электроника,Мэйджор,157477.06,33.54,2023-07-19,Доставлен,4.0,0.99,0.8,9015,C,True,0.0,14105.23,Супер-экспресс,Постоплата,False,0.0
88,Самара,Санкт-Петербург,1728,678,0.27,Одежда,ПЭК,59873.76,33.53,2023-06-05,Доставлен,4.0,0.92,0.2,9324,C,True,0.0,7667.74,Стандарт,Постоплата,False,0.0
89,Ростов-на-Дону,Красноярск,672,86,0.04,Медицина,Ратэк,14586.28,15.52,2023-12-07,В пути,,0.91,0.9,6348,B,True,291.73,1155.05,Экспресс,Предоплата,False,0.0
90,Москва,Новосибирск,2800,2272,1.59,Продукты,Ратэк,139736.17,41.2,2023-03-12,Доставлен,3.0,0.91,0.6,9177,C,True,0.0,18718.04,Стандарт,Постоплата,False,0.0
91,Казань,Уфа,2950,4374,10.93,Стройматериалы,ПЭК,67859.57,26.88,2023-06-09,Доставлен,3.0,0.92,0.1,7482,B,False,0.0,5579.51,Экспресс,50/50,False,0.0
92,Санкт-Петербург,Казань,1777,2230,2.01,Мебель,Байкал Сервис,102704.1,39.21,2023-09-26,Доставлен,4.0,0.93,0.5,4014,A,False,0.0,11986.87,Экспресс,Предоплата,False,0.0
93,Самара,Санкт-Петербург,2167,728,0.51,Продукты,Грузовоз,66544.92,29.53,2023-01-22,Отменен,,0.9,0.6,7479,B,False,1330.9,6984.25,Экспресс,Предоплата,False,53235.94
94,Москва,Ростов-на-Дону,1883,3305,0.99,Электроника,Деловые Линии,62410.53,17.71,2023-08-28,В пути,,0.95,0.8,5423,A,True,1248.21,8476.75,Супер-экспресс,Постоплата,False,0.0
95,Екатеринбург,Уфа,572,304,0.09,Электроника,Энергия,31329.71,30.51,2023-06-14,В пути,,0.96,0.8,4038,A,True,626.59,2849.3,Стандарт,Постоплата,False,0.0
96,Казань,Москва,800,2596,6.49,Стройматериалы,Ратэк,18785.58,27.0,2023-02-05,Доставлен,2.0,0.91,0.1,5433,B,True,0.0,2157.33,Стандарт,Предоплата,False,0.0
97,Челябинск,Нижний Новгород,820,234,0.28,Автозапчасти,Деловые Линии,32734.65,36.43,2023-02-06,Доставлен,1.0,0.95,0.4,1665,A,False,0.0,2081.8,Супер-экспресс,50/50,False,0.0
98,Санкт-Петербург,Новосибирск,2485,2695,1.08,Одежда,Деловые Линии,64476.65,21.18,2023-03-13,Доставлен,3.0,0.95,0.2,9468,C,False,0.0,7587.44,Экспресс,50/50,False,0.0
99,Екатеринбург,Уфа,1332,791,0.4,Медицина,ЖДД,34080.78,20.03,2023-12-02,Доставлен,2.0,0.98,0.9,1061,B,True,0.0,4718.46,Супер-экспресс,50/50,False,0.0
100,Санкт-Петербург,Омск,326,1599,0.8,Медицина,Ратэк,10370.75,17.63,2023-10-26,Доставлен,2.0,0.91,0.9,2533,C,True,0.0,801.76,Экспресс,Предоплата,False,0.0
101,Санкт-Петербург,Красноярск,248,127,0.05,Одежда,Байкал Сервис,7428.97,26.52,2023-02-18,Доставлен,2.0,0.93,0.2,6632,A,True,0.0,789.44,Стандарт,Предоплата,False,5943.18
102,Москва,Казань,800,1079,0.43,Игрушки,Мэйджор,57657.96,45.82,2023-05-06,Доставлен,3.0,0.99,0.4,1425,B,True,0.0,7355.49,Стандарт,Предоплата,False,0.0
103,Москва,Уфа,2102,2621,6.55,Стройматериалы,Ратэк,58862.18,32.0,2023-01-19,Доставлен,5.0,0.91,0.1,5635,C,True,0.0,6319.74,Экспресс,Предоплата,False,0.0
104,Уфа,Ростов-на-Дону,1039,962,0.29,Электроника,ПЭК,43093.23,27.67,2023-07-24,В пути,,0.92,0.8,6022,A,True,0.0,3995.47,Супер-экспресс,Постоплата,False,0.0
105,Ростов-на-Дону,Челябинск,913,3545,3.9,Химия,Ратэк,46758.66,33.29,2023-09-01,Доставлен,2.0,0.91,0.7,6252,B,True,935.17,3157.2,Стандарт,Предоплата,False,0.0
106,Санкт-Петербург,Екатеринбург,2200,3851,1.93,Медицина,Деловые Линии,197855.76,41.52,2023-09-29,Доставлен,4.0,0.95,0.9,6195,A,False,3957.12,15872.88,Стандарт,Предоплата,False,0.0
107,Нижний Новгород,Екатеринбург,1524,3992,3.59,Мебель,Мэйджор,151329.34,45.46,2023-01-22,Доставлен,1.0,0.99,0.5,8433,A,False,3026.59,15600.07,Экспресс,50/50,False,0.0
108,Екатеринбург,Москва,1800,4661,3.26,Продукты,Ратэк,105568.99,38.58,2023-08-08,Доставлен,3.0,0.91,0.6,8096,A,False,0.0,14783.12,Экспресс,Постоплата,False,0.0
109,Москва,Омск,1362,211,0.08,Игрушки,Ратэк,43041.64,33.61,2023-08-10,Доставлен,1.0,0.91,0.4,1601,B,True,0.0,2890.74,Стандарт,Предоплата,False,0.0
110,Ростов-на-Дону,Самара,2939,4587,2.29,Медицина,Байкал Сервис,210999.65,34.41,2023-02-12,Доставлен,3.0,0.93,0.9,3194,A,True,4219.99,24880.95,Супер-экспресс,50/50,True,0.0
111,Красноярск,Санкт-Петербург,2726,1613,0.97,Канцелярия,Мэйджор,119100.69,33.68,2023-06-17,В пути,,0.99,0.3,8843,C,True,0.0,15771.68,Экспресс,Предоплата,False,0.0
112,Екатеринбург,Москва,1800,2297,5.74,Стройматериалы,Мэйджор,37446.83,16.95,2023-04-03,Доставлен,4.0,0.99,0.1,1873,B,True,748.94,3369.6,Супер-экспресс,Постоплата,False,0.0
113,Санкт-Петербург,Самара,2521,2250,2.48,Химия,ЖДД,99912.33,33.2,2023-01-30,Ожидает отправки,,0.98,0.7,4233,A,False,0.0,11860.02,Стандарт,50/50,False,0.0
114,Челябинск,Уфа,1710,4431,3.1,Продукты,Байкал Сервис,86139.05,28.88,2023-01-25,Доставлен,3.0,0.93,0.6,7755,B,False,0.0,8090.31,Супер-экспресс,50/50,False,0.0
115,Казань,Челябинск,2916,2313,0.69,Электроника,ЖДД,169241.34,45.11,2023-11-22,Доставлен,4.0,0.98,0.8,9269,A,True,3384.83,23514.8,Экспресс,50/50,False,0.0
116,Омск,Уфа,2913,4310,3.02,Продукты,ЖДД,147753.77,43.87,2023-05-28,Доставлен,4.0,0.98,0.6,1741,C,False,2955.08,7679.41,Супер-экспресс,Постоплата,False,0.0
117,Казань,Екатеринбург,2972,2173,1.09,Медицина,Ратэк,67861.94,16.19,2023-12-05,Доставлен,5.0,0.91,0.9,5505,C,False,1357.24,4477.73,Супер-экспресс,Предоплата,False,0.0
118,Екатеринбург,Уфа,2194,4157,4.99,Автозапчасти,Байкал Сервис,123268.01,41.15,2023-03-01,В пути,,0.93,0.4,7213,A,False,0.0,12266.83,Стандарт,Предоплата,False,0.0
119,Екатеринбург,Москва,1800,640,0.7,Химия,Ратэк,44933.02,19.3,2023-11-07,Доставлен,3.0,0.91,0.7,7606,B,False,0.0,3187.92,Стандарт,50/50,False,0.0
120,Челябинск,Казань,1149,3650,2.19,Канцелярия,Энергия,79210.0,45.64,2023-02-04,Доставлен,3.0,0.96,0.3,1372,C,True,1584.2,9187.21,Супер-экспресс,Постоплата,False,0.0
121,Санкт-Петербург,Екатеринбург,2200,3463,1.73,Медицина,Энергия,74964.41,16.65,2023-06-09,Доставлен,5.0,0.96,0.9,2801,A,False,0.0,6565.04,Супер-экспресс,50/50,False,0.0
122,Омск,Уфа,1617,2204,0.88,Игрушки,ПЭК,76678.3,38.11,2023-12-09,Доставлен,4.0,0.92,0.4,6158,A,True,0.0,10636.42,Стандарт,Постоплата,False,61342.64
123,Казань,Москва,800,3611,1.44,Игрушки,ПЭК,46601.62,43.08,2023-10-27,Доставлен,1.0,0.92,0.4,3299,B,True,0.0,3266.34,Супер-экспресс,50/50,False,0.0
124,Москва,Ростов-на-Дону,1849,3927,1.57,Одежда,Мэйджор,129459.63,42.68,2023-12-01,Доставлен,4.0,0.99,0.2,7927,C,False,2589.19,12943.22,Экспресс,Предоплата,False,0.0
125,Санкт-Петербург,Ростов-на-Дону,2086,1410,0.56,Игрушки,ПЭК,62301.42,29.13,2023-08-25,Доставлен,3.0,0.92,0.4,2737,B,False,1246.03,4933.36,Экспресс,Постоплата,False,0.0
126,Санкт-Петербург,Челябинск,1747,96,0.07,Продукты,Мэйджор,101872.21,43.26,2023-11-08,Доставлен,3.0,0.99,0.6,1500,B,True,0.0,13815.49,Супер-экспресс,50/50,True,0.0
127,Санкт-Петербург,Самара,1009,2081,2.5,Автозапчасти,Грузовоз,21723.26,19.35,2023-07-10,Доставлен,1.0,0.9,0.4,9957,A,True,0.0,1977.27,Экспресс,Постоплата,False,0.0
128,Москва,Омск,380,3369,3.03,Мебель,Деловые Линии,38041.52,46.29,2024-01-22,Задержан,,0.95,0.5,6138,B,True,0.0,3595.42,Экспресс,50/50,False,30433.22
129,Москва,Новосибирск,2800,3715,1.11,Электроника,Байкал Сервис,183284.17,34.92,2023-09-27,Доставлен,5.0,0.93,0.8,7889,C,False,0.0,25291.59,Супер-экспресс,Постоплата,False,0.0
130,Москва,Красноярск,1067,4529,4.98,Химия,Деловые Линии,62107.07,28.05,2023-11-02,Доставлен,1.0,0.95,0.7,8902,C,True,0.0,5010.63,Супер-экспресс,50/50,False,0.0
